,channel,LDARF_Coefficient
0,TCh1,0.10316614531163734
1,TCh2,0.6466832716259289
2,TCh3,0.19281906525821357
3,TCh4,0.057239028344375886
4,TCh5,0.24065832037331839
5,TCh6,-0.15429569626998582
6,TCh7,-0.26278520916926423
7,TCh8,-0.1588507312495677
8,TCh9,-0.16359308668940922
9,TCh10,0.31842274263521864
10,TCh11,0.020486088848737472
11,TCh12,-0.7332362854056457
12,TCh13,0.05370546331379757
13,TCh14,0.23549655312665366
14,TCh15,-0.15753293201423593
15,TCh16,-0.40950831601782367
16,TCh17,0.37078616718841423
17,TCh18,0.0
18,TCh19,-0.40200772531583084
19,TCh20,0.12983872118888087
20,TCh21,0.10691168813654511
21,TCh22,0.18998710203218705
22,TCh23,-0.1888263095830996
23,TCh24,-0.4653215368278703
24,TCh25,-0.5253797188981572
25,TCh26,-0.25285748535349933
26,TCh27,0.34384559744654974
27,TCh28,0.12217602179398722
28,TCh29,0.31765659184908474
29,TCh30,-0.024763112575075057
30,TCh31,-0.3413224156137761
31,TCh32,0.16838360732555385
