,channel,LDARF_Coefficient
0,GCh1,1.8352631032197886
1,GCh2,1.3636043810790546
2,GCh3,-2.4788124002359986
3,GCh4,1.4538459909979515
4,GCh5,-0.5675809742849997
5,GCh6,-1.4544809509657428
6,GCh7,-2.586091903103371
7,GCh8,2.7552893677831762
8,GCh9,-0.09627698116785222
9,GCh10,-0.5146010626181302
10,GCh11,-0.14139276253773875
11,GCh12,-1.5765814683319388
12,GCh13,0.4752635938563632
13,GCh14,-0.6115867768141596
14,GCh15,0.5617298843543395
15,GCh16,-0.4015654506197801
16,GCh17,0.9441928859753679
17,GCh18,-0.0
18,GCh19,-0.24040429258324214
19,GCh20,-0.1654065998256175
20,GCh21,1.6009571797235238
21,GCh22,1.2720734797664184
22,GCh23,0.5912439243415846
23,GCh24,2.292592745979073
24,GCh25,1.1037739450679669
25,GCh26,0.3716481046702778
26,GCh27,0.8475756686576041
27,GCh28,1.5111723541437256
28,GCh29,-0.39090301975768804
29,GCh30,-0.8175974884837351
30,GCh31,-0.7997796368851009
31,GCh32,-0.37975081307905156
