,alpha,beta,delta,theta
0,ACh11(0.349),BCh25(1.4),DCh12(0.321),DCh12(0.321)
1,ACh30(0.334),BCh29(1.011),DCh16(0.29),DCh16(0.29)
2,ACh19(0.281),BCh15(0.658),DCh32(0.289),DCh32(0.289)
3,ACh8(0.127),BCh23(0.63),DCh6(0.203),DCh6(0.203)
4,ACh5(0.122),BCh11(0.521),DCh1(0.195),DCh1(0.195)
5,ACh28(0.111),BCh13(0.485),DCh7(0.147),DCh7(0.147)
6,ACh6(0.086),BCh9(0.455),DCh14(0.085),DCh14(0.085)
7,ACh10(0.051),BCh5(0.309),DCh26(0.064),DCh26(0.064)
8,ACh31(0.041),BCh24(0.3),DCh24(0.014),DCh24(0.014)
9,ACh24(0.025),BCh4(0.217),DCh31(0.005),DCh31(0.005)
10,ACh17(0.008),BCh31(0.167),DCh18(0.0),DCh18(0.0)
11,ACh15(0.007),BCh7(0.149),DCh9(-0.003),DCh9(-0.003)
12,ACh3(0.004),BCh20(0.043),DCh23(-0.01),DCh23(-0.01)
13,ACh2(0.003),BCh22(0.042),DCh25(-0.016),DCh25(-0.016)
14,ACh18(0.0),BCh18(0.0),DCh30(-0.035),DCh30(-0.035)
15,ACh20(-0.009),BCh8(-0.014),DCh3(-0.042),DCh3(-0.042)
16,ACh1(-0.014),BCh1(-0.076),DCh20(-0.052),DCh20(-0.052)
17,ACh22(-0.023),BCh17(-0.096),DCh10(-0.073),DCh10(-0.073)
18,ACh9(-0.038),BCh32(-0.119),DCh15(-0.074),DCh15(-0.074)
19,ACh25(-0.06),BCh28(-0.145),DCh27(-0.085),DCh27(-0.085)
20,ACh23(-0.074),BCh12(-0.167),DCh28(-0.093),DCh28(-0.093)
21,ACh13(-0.106),BCh21(-0.17),DCh8(-0.098),DCh8(-0.098)
22,ACh14(-0.107),BCh26(-0.172),DCh21(-0.103),DCh21(-0.103)
23,ACh7(-0.118),BCh19(-0.322),DCh4(-0.122),DCh4(-0.122)
24,ACh16(-0.151),BCh16(-0.35),DCh13(-0.131),DCh13(-0.131)
25,ACh27(-0.183),BCh30(-0.358),DCh11(-0.151),DCh11(-0.151)
26,ACh26(-0.218),BCh10(-0.442),DCh17(-0.161),DCh17(-0.161)
27,ACh29(-0.264),BCh14(-0.469),DCh19(-0.178),DCh19(-0.178)
28,ACh32(-0.306),BCh27(-0.571),DCh29(-0.178),DCh29(-0.178)
29,ACh21(-0.332),BCh2(-0.611),DCh22(-0.188),DCh22(-0.188)
30,ACh4(-0.338),BCh3(-1.093),DCh5(-0.198),DCh5(-0.198)
31,ACh12(-0.523),BCh6(-1.169),DCh2(-0.257),DCh2(-0.257)
