,varinace,importance
DCh1,97.5550226314804,0.006260587014814165
DCh22,88.80142162575545,0.00638997845428033
DCh12,85.37776483463941,0.006207448823894532
DCh25,84.0458435054508,0.006417286962951748
DCh6,81.59600958666779,0.00626348003444382
DCh30,81.08845498158232,0.006350100692016755
DCh20,80.05109349469059,0.00694092173102453
DCh8,79.55092283094669,0.0054937535400185495
DCh5,79.309216499341,0.004957925388477451
DCh4,79.2008010621232,0.007051790718647159
DCh10,78.58497966662551,0.007545470121568928
DCh24,78.09544932840168,0.006026119770604561
ACh20,77.96187387432465,0.007588661716306719
ACh10,77.4780650005016,0.008616784800142798
DCh11,76.03842619936009,0.0051099884656847176
DCh26,75.4571959377313,0.005696511345391956
DCh23,74.78382240475031,0.0062535963082076635
DCh28,74.625939837614,0.00570967681664043
DCh2,74.2196895098298,0.005620201804668202
DCh14,73.6293048839211,0.006762622807171826
ACh9,73.49989886881383,0.009029062058432543
ACh8,73.23761846346146,0.006593112809956641
DCh17,73.1805084479648,0.005377836785126183
DCh13,73.0323791646618,0.0066264308555879165
DCh9,72.6666626136853,0.0075537182479598255
DCh21,72.56896548475962,0.0053494210843182686
DCh29,71.98422937993,0.00570744442068832
DCh7,71.23329506567049,0.005735797111484923
DCh16,70.99500879067949,0.005595132022786524
DCh3,69.44232183012822,0.006709734174150371
ACh16,69.3518316795425,0.00522237589741898
ACh24,69.3477840088166,0.005007400735563717
ACh7,68.1628038064602,0.006013415786220678
DCh27,67.99616355059712,0.005707105063809733
DCh15,66.3917356773346,0.00630428999868347
ACh15,65.22511440757512,0.0053891525570906726
DCh19,63.96960449765949,0.007706232563192802
ACh23,61.46535640790887,0.005477401497389924
DCh32,58.966310659051516,0.006305471107644971
TCh17,58.54058026056034,0.006735285411070147
ACh19,57.342975191284935,0.005722865960595451
BCh22,54.86002399186617,0.004524259920004304
DCh31,54.29258796718481,0.006747970975914229
ACh31,54.220124393228765,0.006989312385059141
ACh32,53.8620931554721,0.0051499842494916945
ACh14,51.30137928883607,0.005768580241686409
TCh28,48.13481613338752,0.007119960260002443
ACh5,46.702028656619184,0.005157037900518623
ACh13,46.63048357284951,0.007221147042214655
BCh25,46.60543594386136,0.006805299714461507
BCh4,45.34440524665634,0.006802654423096436
BCh26,44.562199988712685,0.006850420538192666
TCh29,44.13179917137263,0.005681871432212793
TCh5,43.42679792741317,0.005556426035197564
TCh19,42.48698719800784,0.005096630507269834
ACh29,42.45911487186272,0.006510443049839862
TCh21,42.296258890728915,0.006500891683096728
ACh6,41.84621867765508,0.00579162297296112
ACh17,41.32121977982774,0.0065570466817298475
ACh30,40.9332103794992,0.005723890570008527
TCh23,40.775495039126234,0.004331215608934468
BCh1,40.2752471423537,0.007423557639470103
BCh12,40.23643736189543,0.00546315834926091
TCh3,39.64622133451689,0.006407339441990443
TCh20,39.3570642096776,0.006644496075615489
TCh11,39.18801446608301,0.00534960351708903
TCh6,38.71584833551932,0.006142079863545395
TCh30,38.71104542924404,0.0051500375662923
TCh22,37.574902748223934,0.005094700021472007
TCh13,37.40753500539386,0.005493573126171818
ACh22,37.39653776587193,0.005844640799209327
TCh12,37.396042242661665,0.006088843359367572
TCh27,37.22277633840459,0.007111780022132003
TCh24,36.989495785624214,0.0062009425882098065
TCh1,36.8898714896174,0.005821417191638579
TCh25,36.85757434544098,0.00712154099966976
TCh9,36.77259101857129,0.005991927918592709
TCh10,36.53437303549075,0.007100370106254202
TCh7,36.34803682586656,0.005002025491680744
TCh8,36.172202424891545,0.005117064476451274
TCh14,35.57383138126325,0.0054848496071751495
ACh11,35.559490246336196,0.006244665798661268
ACh21,35.531973064443754,0.005161212297639085
GCh25,35.27731113622854,0.008530870793193354
BCh6,35.234768213602656,0.006984592552588529
TCh26,35.12809588625273,0.007417136900851796
BCh11,34.70715934415803,0.006164075323003153
BCh28,34.42276751252703,0.00581127293010873
TCh2,34.315786167124486,0.006298289177350031
TCh31,34.29478010256258,0.0057056018865272095
TCh15,34.13792449090161,0.004714392676065508
ACh28,33.91425935771779,0.006608903935856279
TCh4,33.8101951288977,0.005773968416413234
ACh12,33.717913934066786,0.006227855505849455
BCh14,33.29950750495097,0.0055028495063833794
BCh5,33.24579219727195,0.007102791105380151
BCh30,33.04386631823082,0.0058122108563715335
BCh2,33.03521875182867,0.008373374676955987
TCh16,32.72836171097969,0.004985135132208106
BCh32,31.61766727414163,0.005643357520329727
GCh6,30.928735974540654,0.008236239058902155
BCh24,30.836461705201813,0.005422979226857066
BCh21,30.734891004792832,0.006054436499288866
TCh32,30.682524053743595,0.006817678276323998
BCh17,30.14407136776018,0.006052264432315645
GCh5,30.087220867405236,0.00853073517154278
GCh12,29.718686060645982,0.008184370024095977
BCh13,29.69736517083723,0.00591506021671856
